Created,Name,Stage,Owner,requiresDevMode,RequiresRestart,FrontendOnly
2026-06-22,panelTitleSearch,preview,@grafana/search-and-storage,false,false,false
2026-06-22,publicDashboardsEmailSharing,preview,@grafana/grafana-operator-experience-squad,false,false,false
2026-06-22,lokiExperimentalStreaming,experimental,@grafana/data-sources-plugins,false,false,false
2026-06-22,featureHighlights,GA,@grafana/grafana-operator-experience-squad,false,false,false
2026-06-22,canvasPanelNesting,experimental,@grafana/dataviz-squad,false,false,true
2026-06-22,cloudWatchCrossAccountQuerying,GA,@grafana/data-sources-plugins,false,false,false
2026-06-22,alertingBacktesting,experimental,@grafana/alerting-squad,false,false,false
2026-06-22,alertingRuleGroupSortByFolderFullpath,experimental,@grafana/alerting-squad,false,false,false
2026-06-22,lokiShardSplitting,experimental,@grafana/observability-logs,false,false,true
2026-06-22,lokiQuerySplitting,GA,@grafana/observability-logs,false,false,true
2026-06-22,influxdbBackendMigration,GA,@grafana/data-sources-plugins,false,false,true
2026-06-22,live.runAPIServer,experimental,@grafana/grafana-app-platform-squad,true,true,false
2026-06-22,live.keepHAPrefixInCloud,experimental,@grafana/grafana-app-platform-squad,false,true,false
2026-06-22,starsFromAPIServer,experimental,@grafana/grafana-frontend-navigation,false,false,true
2026-06-22,influxqlStreamingParser,experimental,@grafana/data-sources-plugins,false,false,false
2026-06-22,influxdbRunQueriesInParallel,privatePreview,@grafana/data-sources-plugins,false,false,false
2026-06-22,lokiLogsDataplane,experimental,@grafana/data-sources-plugins,false,false,false
2026-06-22,disableSSEDataplane,experimental,@grafana/grafana-datasources-core-services,false,false,false
2026-06-22,renderAuthJWT,GA,@grafana/grafana-operator-experience-squad,false,false,false
2026-06-22,refactorVariablesTimeRange,preview,@grafana/dashboards-squad,false,false,false
2026-06-22,faroDatasourceSelector,preview,@grafana/app-o11y,false,false,true
2026-06-22,faroSessionReplay,experimental,@grafana/session-replay,false,false,true
2026-06-22,queryHistory.localOnly,experimental,@grafana/datapro,false,false,true
2026-06-22,queryHistory.recentQueriesUI,experimental,@grafana/datapro,false,false,true
2026-06-22,awsDatasourcesTempCredentials,GA,@grafana/data-sources-plugins,false,false,false
2026-06-22,mlExpressions,experimental,@grafana/alerting-squad,false,false,false
2026-06-22,datasourceAPIServers,experimental,@grafana/grafana-app-platform-squad,false,true,false
2026-06-22,grafanaAPIServerWithExperimentalAPIs,experimental,@grafana/grafana-app-platform-squad,true,true,false
2026-06-22,provisioning,GA,@grafana/grafana-app-platform-squad,false,true,false
2026-06-22,provisioningFolderMetadata,GA,@grafana/grafana-app-platform-squad,false,true,false
2026-06-22,provisioningExport,experimental,@grafana/grafana-app-platform-squad,false,true,false
2026-06-22,provisioning.readmes,preview,@grafana/grafana-app-platform-squad,false,false,true
2026-06-22,provisioning.gitConventions,experimental,@grafana/grafana-app-platform-squad,false,true,false
2026-06-22,grafanaAPIServerEnsureKubectlAccess,experimental,@grafana/grafana-app-platform-squad,true,true,false
2026-06-22,awsAsyncQueryCaching,GA,@grafana/data-sources-plugins,false,false,false
2026-06-22,configurableSchedulerTick,experimental,@grafana/alerting-squad,false,true,false
2026-06-22,aiGeneratedDashboardChanges,experimental,@grafana/dashboards-squad,false,false,true
2026-06-22,reportingHeaderSettings,experimental,@grafana/grafana-operator-experience-squad,false,false,true
2026-06-22,reportingFooterSettings,experimental,@grafana/grafana-operator-experience-squad,false,false,true
2026-06-22,sseGroupByDatasource,experimental,@grafana/grafana-datasources-core-services,false,false,false
2026-06-22,sseExpressionErrorIsolation,experimental,@grafana/grafana-datasources-core-services,false,false,false
2026-06-22,lokiRunQueriesInParallel,privatePreview,@grafana/data-sources-plugins,false,false,false
2026-06-22,externalServiceAccounts,preview,@grafana/identity-access-team,false,false,false
2026-06-22,kubernetesSnapshots,experimental,@grafana/grafana-app-platform-squad,false,true,false
2026-06-22,kubernetesLibraryPanels,experimental,@grafana/grafana-app-platform-squad,false,true,false
