Browser,Market share
IE,17.5
Chrome,50.27
Firefox,16.89
Safari,9.94
Opera,1.7
Android,1.32
360 Safe Browser,0.41
Maxthon,0.25
Sony PS3,0.04
Yandex Browser,0.36
Silk,0.23
Sogou Explorer,0.23
Mozilla,0.03
Chromium,0.13
AOL,0
QQ Browser,0.14
SeaMonkey,0.02
RockMelt,0
BlackBerry,0.01
Iron,0.01
Pale Moon,0.03
Flock,0
TheWorld,0.02
UC Browser,0.08
Other,0.38
