#Path,Method,action,kind,sub,OperationName,OperationNameAlt,Description,metadata
/apis/dashboard.grafana.app/v2alpha1/namespaces/{namespace}/dashboards/{name},PATCH,patch,Dashboard,,patchNamespacedDashboard,,partially update the specified Dashboard,"{""x-kubernetes-action"":""patch"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v2alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v2alpha1/namespaces/{namespace}/dashboards/{name},DELETE,delete,Dashboard,,deleteNamespacedDashboard,,delete a Dashboard,"{""x-kubernetes-action"":""delete"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v2alpha1"",""kind"":""Dashboard""}}"
/apis/folder.grafana.app/v0alpha1/namespaces/{namespace}/folders/{name}/parents,GET,connect,FolderInfoList,parents,connectGetNamespacedFolderParents,getNamespacedFolderParents,connect GET requests to parents of Folder,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""folder.grafana.app"",""version"":""v0alpha1"",""kind"":""FolderInfoList""}}"
/apis/folder.grafana.app/v0alpha1/,GET,,,,getAPIResources,,get available resources,null
/apis/folder.grafana.app/v0alpha1/namespaces/{namespace}/folders,GET,list,Folder,,listNamespacedFolder,,list objects of kind Folder,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""folder.grafana.app"",""version"":""v0alpha1"",""kind"":""Folder""}}"
/apis/folder.grafana.app/v0alpha1/namespaces/{namespace}/folders,POST,post,Folder,,createNamespacedFolder,,create a Folder,"{""x-kubernetes-action"":""post"",""x-kubernetes-group-version-kind"":{""group"":""folder.grafana.app"",""version"":""v0alpha1"",""kind"":""Folder""}}"
/apis/folder.grafana.app/v0alpha1/namespaces/{namespace}/folders,DELETE,deletecollection,Folder,,deletecollectionNamespacedFolder,,delete collection of Folder,"{""x-kubernetes-action"":""deletecollection"",""x-kubernetes-group-version-kind"":{""group"":""folder.grafana.app"",""version"":""v0alpha1"",""kind"":""Folder""}}"
/apis/folder.grafana.app/v0alpha1/namespaces/{namespace}/folders/{name},GET,get,Folder,,readNamespacedFolder,,read the specified Folder,"{""x-kubernetes-action"":""get"",""x-kubernetes-group-version-kind"":{""group"":""folder.grafana.app"",""version"":""v0alpha1"",""kind"":""Folder""}}"
/apis/folder.grafana.app/v0alpha1/namespaces/{namespace}/folders/{name},PUT,put,Folder,,replaceNamespacedFolder,,replace the specified Folder,"{""x-kubernetes-action"":""put"",""x-kubernetes-group-version-kind"":{""group"":""folder.grafana.app"",""version"":""v0alpha1"",""kind"":""Folder""}}"
/apis/folder.grafana.app/v0alpha1/namespaces/{namespace}/folders/{name},PATCH,patch,Folder,,patchNamespacedFolder,,partially update the specified Folder,"{""x-kubernetes-action"":""patch"",""x-kubernetes-group-version-kind"":{""group"":""folder.grafana.app"",""version"":""v0alpha1"",""kind"":""Folder""}}"
